04_03_2020: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_03_2020: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%


04_03_2020_231538: World: Total cases: 1098762, Total deaths: 59172, Death rate: 5.39%
04_03_2020_231538: Us: Total cases: 277467, Total deaths: 7402, Death rate: 2.67%
04_03_2020_231538: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020_231538: France: Total cases: 64338, Total deaths: 6507, Death rate: 10.11%
04_03_2020_231538: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020_231538: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020_231538: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_03_2020_231538: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%
04_03_2020_231538: World: Total cases: 1099960, Total deaths: 59197, Death rate: 5.38%
04_03_2020_231538: Us: Total cases: 277475, Total deaths: 7402, Death rate: 2.67%
04_03_2020_231538: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020_231538: France: Total cases: 64338, Total deaths: 6507, Death rate: 10.11%
04_03_2020_231538: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020_231538: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020_231538: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_03_2020_231538: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%
04_04_2020_023227: World: Total cases: 1118398, Total deaths: 59224, Death rate: 5.30%
04_04_2020_023227: Us: Total cases: 277522, Total deaths: 7403, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_04_2020_023227: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_04_2020_023227: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%
04_04_2020_023227: World: Total cases: 1119702, Total deaths: 59245, Death rate: 5.29%
04_04_2020_023227: Us: Total cases: 277522, Total deaths: 7403, Death rate: 2.67%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_04_2020_023227: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_04_2020_023227: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%
04_04_2020_023227: World: Total cases: 1121991, Total deaths: 59403, Death rate: 5.29%
